tick	outerResourceControl	captureUsedProducerLowerBound	oldGateLowerBound	logisticsCpuUsedV1	logisticsBytes	dataBytesAttested	dataBytesObserved	snapshotByteMismatch	bucket	available	complete	projectionTruncated	effectiveAuthorityLegacy	comparisons	matched	different	unresolved	reasonEqual	reasonExpectedPolicyDifference	reasonUnsafeCandidate	matcherIndexBuilds	matcherBudgetExhausted	nonLegacyAuthority	activeContracts	activeLeases	activeClaims	shadowObservableRecords	violations
73087820	3.180499400004919	1.389	4.569499400004919	2.617	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087830	2.463728799993987	1.313	3.776728799993987	2.248	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087840	2.732941900001606	1.475	4.207941900001606	2.449	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087850	3.72139430000243	1.701	5.422394300002431	2.991	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087860	3.6834434000047622	3.111	6.794443400004763	4.619	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087870	3.0213794000083	1.689	4.7103794000083	2.762	3695	1639	1640	1	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087880	2.715380199995707	1.479	4.194380199995707	2.563	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087890	3.0623059999998077	1.333	4.395305999999808	2.453	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087900	3.0444311999963247	1.257	4.301431199996324	2.19	3716	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087910	2.8052141000007396	1.372	4.1772141000007394	2.404	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087920	2.8155308999994304	1.212	4.02753089999943	2.323	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087930	3.463362500006042	1.606	5.069362500006042	2.947	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087940	2.5244661000106134	1.217	3.7414661000106135	2.15	3694	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087950	2.517160100003821	1.033	3.5501601000038208	1.949	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087960	2.534053599993058	1.494	4.028053599993058	2.501	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73087970	4.909641299993382	1.35	6.2596412999933815	3.878	5148	2393	2393	0	10000	1	1	0	1	4	1	3	0	1	1	2	1	0	0	0	0	0	0	0
73087980	2.9419040999928256	1.537	4.478904099992826	2.645	5015	2394	2394	0	10000	1	1	0	1	4	2	2	0	2	1	1	1	0	0	0	0	0	0	0
