tick	intents	equal	different	unresolved	causalCodes	producerUsed	consumerUsed	outerResourceControlUsed	gateUsed	dataBytes	runtimeBytes	totalBytes	bucket	candidateEvals	txnCostEvals
73111180	4	3	1	0	source_protection=1	2.456000	1.122000	2.911406	5.367406	2380	5101	7481	10000	8	0
73111190	4	3	1	0	source_protection=1	2.969000	0.914000	2.505062	5.474062	2381	5101	7482	10000	8	0
73111200	4	3	1	0	source_protection=1	2.471000	1.102000	2.612840	5.083840	2390	5101	7491	10000	8	0
73111210	4	3	1	0	source_protection=1	3.231000	1.118000	3.301910	6.532910	2389	5101	7490	10000	8	0
73111220	4	3	1	0	source_protection=1	3.550000	1.429000	3.617922	7.167922	2389	5100	7489	10000	8	0
73111230	4	3	1	0	source_protection=1	2.767000	1.113000	2.853153	5.620153	2391	5101	7492	10000	8	0
73111240	4	3	1	0	source_protection=1	2.855000	0.979000	2.715250	5.570250	2390	5101	7491	10000	8	0
73111250	4	3	1	0	source_protection=1	2.120000	0.967000	2.592905	4.712905	2380	5100	7480	10000	8	0
73111260	4	3	1	0	source_protection=1	3.005000	0.848000	2.554278	5.559278	2381	5101	7482	10000	8	0
73111270	4	3	1	0	source_protection=1	2.429000	1.027000	2.916174	5.345174	2381	5101	7482	10000	8	0
73111280	4	3	1	0	source_protection=1	2.621000	0.823000	2.383438	5.004438	2381	5101	7482	10000	8	0
73111290	4	3	1	0	source_protection=1	2.791000	0.931000	2.541808	5.332808	2381	5101	7482	10000	8	0
73111300	4	3	1	0	source_protection=1	2.160000	0.772000	2.268425	4.428425	2390	5100	7490	10000	8	0
73111310	4	3	1	0	source_protection=1	2.851000	0.950000	2.566554	5.417554	2388	5100	7488	10000	8	0
73111320	4	3	1	0	source_protection=1	2.414000	0.842000	2.462688	4.876688	2391	5101	7492	10000	8	0
73111330	4	3	1	0	source_protection=1	2.759000	1.028000	2.990803	5.749803	2391	5101	7492	10000	8	0
73111340	4	3	1	0	source_protection=1	2.839000	0.860000	2.559887	5.398887	2391	5100	7491	10000	8	0
73111350	4	3	1	0	source_protection=1	2.327000	1.111000	2.770101	5.097101	2381	5101	7482	10000	8	0
73111360	4	3	1	0	source_protection=1	2.845000	0.803000	2.498218	5.343218	2381	5101	7482	10000	8	0
73111370	4	3	1	0	source_protection=1	2.481000	0.856000	2.536719	5.017719	2380	5101	7481	10000	8	0
73111380	4	3	1	0	source_protection=1	6.053000	1.224000	3.171581	9.224581	2381	5101	7482	10000	8	0
73111390	4	3	1	0	source_protection=1	2.643000	0.946000	2.538674	5.181674	2381	5101	7482	10000	8	0
73111400	4	3	1	0	source_protection=1	2.430000	0.857000	2.481908	4.911908	2390	5100	7490	10000	8	0
73111410	4	3	1	0	source_protection=1	2.777000	1.047000	2.902117	5.679117	2390	5101	7491	10000	8	0
73111420	4	3	1	0	source_protection=1	3.256000	1.459000	12.604881	15.860881	2391	5101	7492	10000	8	0
73111430	4	3	1	0	source_protection=1	2.795000	1.208000	2.952387	5.747387	2391	5101	7492	10000	8	0
73111440	4	3	1	0	source_protection=1	2.859000	0.907000	2.499987	5.358987	2391	5101	7492	10000	8	0
73111450	4	3	1	0	source_protection=1	2.356000	1.046000	2.643073	4.999073	2382	5101	7483	10000	8	0
73111460	4	3	1	0	source_protection=1	2.656000	0.886000	2.522961	5.178961	2381	5101	7482	10000	8	0
73111470	4	3	1	0	source_protection=1	2.587000	0.863000	2.495837	5.082837	2382	5101	7483	10000	8	0
73111480	4	3	1	0	source_protection=1	3.583000	0.862000	2.426553	6.009553	2381	5101	7482	10000	8	0
73111490	4	3	1	0	source_protection=1	2.706000	1.126000	3.091514	5.797514	2381	5101	7482	10000	8	0
73111500	4	3	1	0	source_protection=1	2.433000	1.425000	4.190458	6.623458	2390	5101	7491	10000	8	0
73111510	4	3	1	0	source_protection=1	2.534000	0.999000	2.658076	5.192076	2391	5101	7492	10000	8	0
73111520	4	3	1	0	source_protection=1	2.589000	1.068000	2.637149	5.226149	2391	5101	7492	10000	8	0
73111530	4	3	1	0	source_protection=1	2.781000	0.963000	2.479145	5.260145	2390	5101	7491	10000	8	0
73111540	4	3	1	0	source_protection=1	2.458000	0.771000	2.142830	4.600830	2391	5101	7492	10000	8	0
73111550	4	3	1	0	source_protection=1	2.336000	1.054000	2.831156	5.167156	2381	5101	7482	10000	8	0
73111560	4	3	1	0	source_protection=1	3.193000	1.092000	3.083918	6.276918	2382	5101	7483	10000	8	0
73111570	4	3	1	0	source_protection=1	2.578000	0.818000	2.347523	4.925523	2378	5101	7479	10000	8	0
73111580	4	3	1	0	source_protection=1	2.689000	0.950000	2.835656	5.524656	2378	5100	7478	10000	8	0
73111590	4	3	1	0	source_protection=1	2.397000	0.770000	2.264417	4.661417	2381	5100	7481	10000	8	0
73111600	4	3	1	0	source_protection=1	2.211000	0.817000	2.340837	4.551837	2389	5101	7490	10000	8	0
73111610	4	3	1	0	source_protection=1	2.159000	0.773000	2.176117	4.335117	2390	5101	7491	10000	8	0
73111620	4	3	1	0	source_protection=1	3.011000	1.057000	2.931923	5.942923	2389	5101	7490	10000	8	0
73111630	4	3	1	0	source_protection=1	2.453000	0.874000	2.417117	4.870117	2389	5101	7490	10000	8	0
73111640	4	3	1	0	source_protection=1	3.349000	0.889000	2.712484	6.061484	2389	5101	7490	10000	8	0
73111650	4	3	1	0	source_protection=1	2.347000	0.968000	2.642311	4.989311	2380	5101	7481	10000	8	0
73111660	4	3	1	0	source_protection=1	2.125000	0.750000	2.078801	4.203801	2380	5100	7480	10000	8	0
73111670	4	3	1	0	source_protection=1	2.454000	0.841000	2.406918	4.860918	2380	5101	7481	10000	8	0
73111680	4	3	1	0	source_protection=1	2.759000	0.902000	2.444725	5.203725	2381	5101	7482	10000	8	0
73111690	4	3	1	0	source_protection=1	2.497000	0.871000	2.834129	5.331129	2381	5101	7482	10000	8	0
73111700	4	3	1	0	source_protection=1	2.274000	1.088000	2.651834	4.925834	2390	5101	7491	10000	8	0
73111710	4	3	1	0	source_protection=1	2.305000	0.983000	8.733481	11.038481	2397	5101	7498	10000	8	0
73111720	4	3	1	0	source_protection=1	2.816000	0.806000	2.243557	5.059557	2396	5101	7497	10000	8	0
73111730	4	3	1	0	source_protection=1	2.754000	1.053000	2.762496	5.516496	2398	5101	7499	10000	8	0
73111740	4	3	1	0	source_protection=1	3.030000	1.140000	3.092508	6.122508	2398	5099	7497	10000	8	0
73111750	4	3	1	0	source_protection=1	2.675000	1.088000	2.857621	5.532621	2390	5101	7491	10000	8	0
73111760	4	3	1	0	source_protection=1	2.297000	0.853000	2.511999	4.808999	2389	5101	7490	10000	8	0
73111770	4	3	1	0	source_protection=1	2.591000	0.916000	2.486934	5.077934	2390	5101	7491	10000	8	0
73111780	4	3	1	0	source_protection=1	2.973000	0.991000	2.965742	5.938742	2390	5101	7491	10000	8	0
73111790	4	3	1	0	source_protection=1	2.710000	0.823000	2.325943	5.035943	2388	5100	7488	10000	8	0
73111800	4	3	1	0	source_protection=1	2.980000	0.991000	2.737401	5.717401	2397	5100	7497	10000	8	0
73111810	4	3	1	0	source_protection=1	2.448000	1.082000	3.231271	5.679271	2396	5101	7497	10000	8	0
73111820	4	3	1	0	source_protection=1	2.802000	1.105000	2.583799	5.385799	2397	5101	7498	10000	8	0
73111830	4	3	1	0	source_protection=1	12.546000	1.127000	3.233005	15.779005	2396	5102	7498	10000	8	0
73111840	4	3	1	0	source_protection=1	2.910000	0.784000	2.096178	5.006178	2396	5100	7496	10000	8	0
73111850	4	3	1	0	source_protection=1	2.609000	1.000000	5.014430	7.623430	2390	5097	7487	10000	8	0
73111860	4	3	1	0	source_protection=1	2.514000	0.855000	2.245919	4.759919	2388	5101	7489	10000	8	0
73111870	4	3	1	0	source_protection=1	2.781000	0.921000	2.695736	5.476736	2390	5101	7491	10000	8	0
73111880	4	3	1	0	source_protection=1	2.690000	0.845000	2.267106	4.957106	2389	5100	7489	10000	8	0
73111890	4	3	1	0	source_protection=1	5.969000	0.967000	2.880199	8.849199	2389	5101	7490	10000	8	0
73111900	4	3	1	0	source_protection=1	2.308000	0.826000	2.512218	4.820218	2398	5101	7499	10000	8	0
73111910	4	3	1	0	source_protection=1	2.461000	0.812000	2.636608	5.097608	2398	5101	7499	10000	8	0
73111920	4	3	1	0	source_protection=1	2.914000	1.303000	3.603444	6.517444	2398	5101	7499	10000	8	0
73111930	4	3	1	0	source_protection=1	2.535000	0.787000	2.454899	4.989899	2399	5101	7500	10000	8	0
73111940	4	3	1	0	source_protection=1	2.922000	1.024000	2.849586	5.771586	2397	5101	7498	10000	8	0
73111950	4	3	1	0	source_protection=1	2.410000	0.929000	2.781247	5.191247	2390	5100	7490	10000	8	0
73111960	4	3	1	0	source_protection=1	6.014000	0.856000	2.384820	8.398820	2390	5101	7491	10000	8	0
73111970	4	3	1	0	source_protection=1	2.655000	1.034000	2.768611	5.423611	2389	5101	7490	10000	8	0
73111980	4	3	1	0	source_protection=1	3.200000	0.874000	2.511770	5.711770	2391	5099	7490	10000	8	0
73111990	4	3	1	0	source_protection=1	2.580000	0.816000	2.437945	5.017945	2391	5100	7491	10000	8	0
73112000	4	3	1	0	source_protection=1	2.340000	0.961000	2.718345	5.058345	2399	5100	7499	10000	8	0
73112010	4	3	1	0	source_protection=1	2.846000	1.005000	2.865170	5.711170	2400	5101	7501	10000	8	0
73112020	4	3	1	0	source_protection=1	2.685000	0.974000	2.684408	5.369408	2400	5101	7501	10000	8	0
73112030	4	3	1	0	source_protection=1	2.699000	1.052000	2.755041	5.454041	2400	5101	7501	10000	8	0
73112040	4	3	1	0	source_protection=1	2.577000	0.840000	2.310282	4.887282	2400	5100	7500	10000	8	0
73112050	4	3	1	0	source_protection=1	2.593000	0.999000	2.887283	5.480283	2391	5101	7492	10000	8	0
73112060	4	3	1	0	source_protection=1	2.501000	0.898000	2.357359	4.858359	2390	5101	7491	10000	8	0
73112070	4	3	1	0	source_protection=1	2.479000	0.837000	2.515120	4.994120	2389	5099	7488	10000	8	0
73112080	4	3	1	0	source_protection=1	2.787000	0.999000	2.733320	5.520320	2389	5099	7488	10000	8	0
73112090	4	3	1	0	receiver_capacity=1	2.696000	1.043000	2.526356	5.222356	2389	5120	7509	10000	8	0
73112100	4	3	1	0	receiver_capacity=1	2.167000	0.851000	2.356552	4.523552	2398	5120	7518	10000	8	0
