tick	intents	equal	different	unresolved	legacyUnpaired	causalCodes	producerUsed	consumerUsed	outerResourceControlUsed	gateUsed	dataBytes	runtimeBytes	totalBytes	bucket	candidateEvals	txnCostEvals
73129610	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	10.196000	7.376000	9.659592	19.855592	3009	9328	12337	10000	32	1
73129620	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	4.247000	2.684000	4.974933	9.221933	3009	9327	12336	10000	32	1
73129630	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	4.557000	2.504000	5.343135	9.900135	3009	9327	12336	10000	32	1
73129640	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	2.761000	1.612000	3.577005	6.338005	3010	9327	12337	10000	32	1
73129650	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	2.894000	1.936000	4.223361	7.117361	3009	9327	12336	10000	32	1
73129660	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	2.565000	1.912000	4.360602	6.925602	3010	9327	12337	10000	32	1
73129670	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	2.651000	1.379000	3.409125	6.060125	3008	9327	12335	10000	32	1
73129680	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	3.331000	1.614000	3.895568	7.226568	3010	9327	12337	10000	32	1
73129690	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	3.159000	1.391000	3.756328	6.915328	3008	9327	12335	10000	32	1
73129700	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	3.119000	1.439000	3.589655	6.708655	3018	9327	12345	10000	32	1
73129710	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	2.729000	1.199000	3.173253	5.902253	3016	9327	12343	10000	32	1
73129720	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	3.373000	1.398000	3.697177	7.070177	3017	9327	12344	10000	32	1
73129730	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	2.199000	1.165000	3.046702	5.245702	3015	9327	12342	10000	32	1
73129740	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	2.614000	1.397000	3.494453	6.108453	3018	9327	12345	10000	32	1
73129750	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	2.301000	1.310000	3.350579	5.651579	3017	9326	12343	10000	32	1
73129760	8	4	4	0	1	matched=4,no_donor=1,source_protection=3	2.688000	1.513000	3.882119	6.570119	3018	9327	12345	10000	32	1
