tick	outer	producer	consumer	gateUsed
73132150	4.257604199996422	3.619	2.247	7.876604199996422
73132160	4.560259800000495	3.509	2.123	8.069259800000495
73132170	3.6960743999989063	2.292	1.475	5.988074399998906
73132180	3.6743227999977535	2.265	1.313	5.939322799997754
73132190	3.2440812999993796	2.16	1.184	5.40408129999938
73132200	4.075441699998919	2.267	1.379	6.342441699998918
73132210	3.6117888999942807	2.224	1.258	5.835788899994281
73132220	3.4958860999977333	2.206	1.406	5.701886099997733
73132230	3.712212599995837	2.639	1.303	6.351212599995836
73132240	3.2814926999926683	2.016	1.133	5.297492699992668
73132250	3.2814926999926683	2.312	1.373	5.593492699992668
73132260	3.530801499997324	2.059	1.288	5.589801499997324
73132270	3.530801499997324	2.023	1.09	5.5538014999973235
73132280	2.9696460999912233	1.969	0.955	4.938646099991224
73132290	3.6976175000017975	3.062	1.259	6.759617500001797
73132300	2.814761499990709	1.623	0.996	4.437761499990709
73132310	4.091074199990544	2.342	1.44	6.4330741999905445
73132320	3.2386966999911238	1.991	1.276	5.229696699991123
73132330	3.030131200001051	2.017	1.069	5.047131200001051
73132340	3.030131200001051	3.013	1.27	6.043131200001051
73132350	4.644146199992974	2.534	1.69	7.178146199992974
73132360	4.644146199992974	2.021	1.349	6.665146199992974
73132370	3.7911681000041426	2.197	1.337	5.988168100004143
73132380	3.7911681000041426	2.004	1.139	5.795168100004142
73132390	4.0929474999938975	2.323	1.427	6.415947499993898
73132400	4.068767500000831	2.311	1.386	6.379767500000831
73132410	3.2829733999969903	1.827	1.144	5.10997339999699
73132420	3.462035399992601	1.839	1.144	5.301035399992601
73132430	3.868606500000169	2.226	1.26	6.094606500000169
73132440	3.5908263999954215	2.396	1.303	5.986826399995421
73132450	3.961256200003845	2.376	1.519	6.337256200003845
73132460	4.738446899995324	2.472	1.78	7.210446899995324
73132470	4.738446899995324	2.969	1.328	7.707446899995324
73132480	3.6663005000009434	2.065	1.286	5.731300500000943
73132490	3.1243213999987347	1.894	1.131	5.018321399998735
73132500	4.13555500000075	2.063	1.509	6.19855500000075
73132510	3.7212827000039397	3.338	1.411	7.05928270000394
73132520	3.298738500001491	2.376	1.126	5.6747385000014905
73132530	3.372989299983601	2.028	1.227	5.4009892999836016
73132540	3.886056399991503	2.368	1.394	6.254056399991503
73132550	3.5797334999952	2.029	1.325	5.6087334999952
73132560	3.5797334999952	2.051	1.196	5.6307334999952
73132570	3.094058699993184	1.926	1.124	5.020058699993184
73132580	3.094058699993184	2.079	1.207	5.1730586999931845
73132590	3.155644900005427	1.994	1.182	5.149644900005427
73132600	3.1279938999941805	1.898	1.103	5.02599389999418
73132610	3.0183973999955924	1.906	1.088	4.924397399995592
73132620	3.7273926999914693	14.605	1.338	18.33239269999147
73132630	4.077961099988897	2.254	1.432	6.331961099988897
73132640	3.8405407999962335	1.946	1.406	5.786540799996233
73132650	2.974619900007383	1.585	1.131	4.559619900007383
73132660	3.1417739000025904	1.928	1.186	5.06977390000259
73132670	13.57080029998906	2.25	1.535	15.82080029998906
73132680	3.520162300002994	2.087	1.218	5.607162300002994
73132690	3.708636299998034	2.335	1.394	6.043636299998034
73132700	3.5457410999952117	2.341	1.216	5.886741099995212
73132710	4.1890759999951115	2.201	1.752	6.390075999995112
73132720	4.273491499974625	2.466	1.534	6.739491499974625
73132730	4.273491499974625	2.155	1.392	6.4284914999746245
73132740	3.24348329998611	2.211	1.112	5.45448329998611
73132750	3.24348329998611	2.131	1.235	5.37448329998611
73132760	4.482937099979608	2.588	1.595	7.070937099979608
73132770	4.482937099979608	2.905	1.4	7.387937099979608
73132780	4.894944799991208	2.051	1.492	6.945944799991208
73132790	3.8553347999841208	2.335	1.414	6.190334799984121
73132800	3.8792197000148008	3.528	1.314	7.407219700014801
73132810	3.2349149999936344	1.995	1.271	5.2299149999936345
73132820	3.1902027999894926	2.095	1.168	5.285202799989493
73132830	4.117949099992984	2.013	1.383	6.130949099992984
73132840	3.7464428999956	2.154	1.276	5.9004428999956
73132850	4.266895299995667	2.453	1.823	6.719895299995667
73132860	3.452107299977797	2.03	1.352	5.482107299977796
73132870	3.6713120000058552	2.045	1.433	5.716312000005855
73132880	3.081439599976875	2.03	1.11	5.111439599976874
73132890	3.4577830999915022	1.982	1.306	5.4397830999915024
73132900	3.770791899994947	1.957	1.49	5.727791899994947
73132910	3.732634300002246	2.449	1.249	6.181634300002246
73132920	3.913626800000202	2.287	1.461	6.200626800000202
73132930	3.391146399982972	1.915	1.266	5.306146399982972
73132940	3.2556616999936523	1.97	1.136	5.225661699993652
73132950	3.4933874999842374	2.564	1.198	6.057387499984237
73132960	3.93527049999102	2.445	1.477	6.3802704999910205
73132970	3.0171598000015365	1.952	1.097	4.9691598000015365
73132980	3.2393817999982275	1.888	1.138	5.127381799998227
73132990	3.527286299999105	11.936	1.352	15.463286299999105
73133000	3.321994199999608	2.063	1.182	5.384994199999609
73133010	3.321994199999608	1.922	1.304	5.243994199999608
73133020	3.4096297999785747	2.313	1.145	5.722629799978575
73133030	3.059249899990391	1.935	1.143	4.9942498999903915
73133040	3.918517400001292	2.182	1.249	6.1005174000012925
73133050	3.2517044999985956	1.887	1.137	5.138704499998596
73133060	3.410719199993764	2.061	1.217	5.471719199993764
73133070	3.410719199993764	1.98	1.251	5.3907191999937645
73133080	3.409702599994489	1.9	1.234	5.309702599994489
73133090	3.409702599994489	1.888	1.104	5.297702599994489
73133100	3.3934526000230107	1.924	1.189	5.31745260002301
73133110	4.243626600014977	2.683	1.55	6.926626600014977
73133120	3.1279549000319093	1.986	1.126	5.113954900031909
73133130	3.797354800015455	2.145	1.478	5.942354800015455
73133140	3.3383404000196606	2.102	1.307	5.440340400019661
73133150	3.3586750000249594	1.795	1.241	5.153675000024959
73133160	3.312683600001037	2.113	1.239	5.425683600001037
73133170	2.8364299000240862	1.929	1.012	4.7654299000240865
73133180	5.483010200026911	2.18	1.205	7.6630102000269105
73133190	3.4697548000258394	2.156	1.109	5.62575480002584
73133200	2.9881996999902185	1.806	1.098	4.7941996999902186
73133210	3.3519956000091042	1.984	1.1	5.335995600009104
73133220	4.0523433000198565	2.436	1.486	6.4883433000198565
73133230	3.5844642000156455	2.133	1.163	5.7174642000156455
73133240	3.5844642000156455	2.122	1.235	5.706464200015645
73133250	3.170752200006973	1.934	1.105	5.104752200006973
73133260	3.7161191000195686	2.119	1.438	5.835119100019568
73133270	3.7070139000134077	2.271	1.227	5.978013900013408
73133280	3.587265700014541	2.319	1.184	5.906265700014541
73133290	3.517870400013635	2.453	1.278	5.970870400013634
73133300	3.3529940000153147	4.123	1.171	7.475994000015315
73133310	3.210324200015748	1.771	1.151	4.981324200015748
73133320	3.2774314999987837	1.99	1.252	5.267431499998784
73133330	3.7617595000192523	2.319	1.274	6.080759500019252
73133340	3.1436549999925774	2.175	1.07	5.318654999992577
73133350	3.1436549999925774	2.907	2.561	6.050654999992577
73133360	3.701252300001215	2.112	1.374	5.813252300001215
73133370	3.641360000008717	2.381	1.307	6.022360000008717
73133380	2.995763100014301	1.838	1.129	4.833763100014301
73133390	3.491341300017666	2.115	1.31	5.606341300017666
